id,text_content,label,audio_url,quality_score,version_tag,submitted_at,annotation_json
1a2db9f7-9e4c-40ef-b9a7-a986ca5cee98,"Stallone had his first starring role in the softcore pornography feature film The Party at Kitty and Stud's (1970). He was paid US$200 for two days' work. [ 43 ] Stallone later explained that he had done the film out of desperation after being evicted from his apartment and finding himself homeless for several days. He has also said that he slept three weeks in the Port Authority Bus Terminal in New York City prior to seeing a casting notice for the film. In the actor's words, ""it was either do that movie or rob someone, because I was at the end – the very end – of my rope"". [ 44 ] The film was released several years later as Italian Stallion , in order to cash in on Stallone's newfound fame (the new title was taken from Stallone's nickname since Rocky ). Stallone also starred in the erotic off-Broadway stage play Score which ran for 23 performances at the Martinique Theatre from October 28 to November 15, 1971, and was later made into the 1974 film Score by Radley Metzger . [ 45 ]",neutral,,0.939,gtgg,2026-06-10 23:20:12.128318+00:00,"{""label"": ""neutral"", ""sentiment"": ""neutral""}"
1c4c7c1e-8d08-41b0-8c3f-92fc21334129,"Regarded as an icon of action cinema, Stallone is credited with helping redefine the Hollywood action hero. [ 6 ] [ 7 ] [ 8 ] He has occasionally ventured from the action genre, with mixed results. He starred in the comedies Oscar (1991) and Stop! Or My Mom Will Shoot (1992), the first film failed at box office [ 9 ] but the second one had modest success. He also starred in the 1997 drama Cop Land , for which he temporarily shed his sculpted physique and gained weight for his role as a powerless sheriff. In television, he has starred in the Paramount+ crime series Tulsa King (2022–present). In addition to his film work, Stallone is a noted art collector and painter, and has written books on fitness.",positive,,0.941,gtgg,2026-06-10 23:20:08.431326+00:00,"{""label"": ""positive"", ""sentiment"": ""positive""}"
500e8167-c18c-42c3-938e-32ae5772b07f,"After moving to New York City, Stallone shared an apartment with his girlfriend, Sasha Czack, an aspiring actress who supported them by working as a waitress. [ 46 ] Stallone took odd jobs around this time, including being a cleaner at a zoo, and a theater usher; he was fired from the latter for scalping tickets. He furthered his writing skills by frequenting a local library, and became interested in the works of Edgar Allan Poe . [ 47 ]",neutral,,0.951,gtgg,2026-06-10 23:20:12.885148+00:00,"{""label"": ""neutral"", ""sentiment"": ""neutral""}"
334a6210-2e41-4021-b95d-ea3122f3f243,"Stallone happened to be acting in a play that a friend invited him to partake in, and an agent in attendance thought that Stallone fit the role of Stanley, a main character in The Lords of Flatbush , which had a start-stop schedule from 1972 to 1974 over budget issues. [ 50 ] Stallone, around mid-1973, achieved his first proper starring role, in the independent film No Place to Hide , playing a man who is associated with a New York–based urban terrorist movement, with a jewelry-seller as his love interest. The film was re-cut and retitled Rebel years later, this second version featuring Stallone as its star. In 1990, this film was re-edited with outtakes from the original film and newly shot matching footage, then redubbed – in the style of Woody Allen 's What's Up, Tiger Lily? – into a parody of itself titled A Man Called... Rainbo .",neutral,,0.942,gtgg,2026-06-10 23:30:12.469658+00:00,"{""label"": ""neutral"", ""sentiment"": ""neutral""}"
55cfdd98-f861-4554-b6f0-a319aaac4500,"Stallone next appeared in John Landis ' period comedy Oscar which was both a critical and box-office failure. [ 73 ] In 1992, he appeared in Roger Spottiswoode 's action comedy Stop! Or My Mom Will Shoot [ 74 ] which was also both a critical and box-office disaster. Stallone signed onto the film based on rumors that Schwarzenegger was interested in the lead. Schwarzenegger said that, knowing the script's quality was poor, he publicly faked interest in starring for producers to lure Stallone. [ 64 ]",positive,,0.943,gtgg,2026-06-10 23:30:21.549410+00:00,"{""sentiment"": ""positive""}"
0938a860-dd61-4b2c-87a2-647289ec4a93,"Regarded as an icon of action cinema, Stallone is credited with helping redefine the Hollywood action hero. [ 6 ] [ 7 ] [ 8 ] He has occasionally ventured from the action genre, with mixed results. He starred in the comedies Oscar (1991) and Stop! Or My Mom Will Shoot (1992), the first film failed at box office [ 9 ] but the second one had modest success. He also starred in the 1997 drama Cop Land , for which he temporarily shed his sculpted physique and gained weight for his role as a powerless sheriff. In television, he has starred in the Paramount+ crime series Tulsa King (2022–present). In addition to his film work, Stallone is a noted art collector and painter, and has written books on fitness.",positive,,0.941,gtgg,2026-06-10 23:30:05.907997+00:00,"{""label"": ""positive"", ""sentiment"": ""positive""}"
8642fee2-bf04-4153-a210-3c77e7c1dc50,"In 2008, Stallone reprised his other famous role in the fourth installment of the Rambo franchise , titled simply Rambo ( John Rambo in some countries where the first film was titled Rambo ). The film opened in 2,751 theaters on January 25, 2008, grossing US$6,490,000 on its opening day and US$18,200,000 over its opening weekend. Its box office was US$113,244,290 worldwide with a budget of US$50 million.",positive,,0.943,gtgg,2026-06-10 23:30:24.160340+00:00,"{""label"": ""positive"", ""sentiment"": ""positive""}"
3c4c2edd-ecfd-42ef-b88f-d94c956f8945,"In 1972, Stallone was on the verge of giving up on having an acting career; in what he later described as a low point, he tried and failed to get a job as an extra in The Godfather . [ 48 ] [ 49 ] Instead, he was relegated to a background role in another Hollywood hit, What's Up, Doc? , starring Barbra Streisand . Stallone is hardly visible in his two appearances.",neutral,,0.945,gtgg,2026-06-10 23:30:11.819858+00:00,"{""sentiment"": ""neutral""}"
174fede6-c51a-4636-b18e-6e8eca8f7ae5,"Sylvester Gardenzio Stallone [ 10 ] [ 11 ] [ 12 ] was born in the Hell's Kitchen neighborhood of New York City's Manhattan borough [ 13 ] on July 6, 1946, [ 14 ] the elder son of celebrity astrologer and women's professional wrestling promoter Jacqueline ""Jackie"" Stallone (née Labofish; 1921–2020) and hairdresser Francesco ""Frank"" Stallone Sr. (1919–2011), [ 15 ] [ 16 ] who opened up and ran a group of hair salons in Maryland and was an avid polo player. [ 15 ] [ 17 ] His mother was an American from Washington, D.C. , with Breton French [ 18 ] and Ukrainian Jewish ancestry, [ 19 ] [ 20 ] [ 21 ] while his father was an Italian immigrant from Gioia del Colle [ 16 ] who moved to the U.S. in the 1930s. [ 22 ] [ 23 ] His younger brother is actor and musician Frank Stallone . [ 16 ] Many biographies of Stallone indicate that his birth name is ""Michael Sylvester Gardenzio Stallone"" and his mother explained in an interview that she originally named him ""Tyrone"" because she admired the actor Tyrone Power , but Stallone's father changed it to ""Sylvester"". His nickname as a child was ""Binky"" but he chose to go by the nickname of Mike/Michael after schoolmates began calling him ""Stinky"". [ 10 ] [ 11 ] [ 12 ] His middle name ""Gardenzio"" is an alteration of the Italian given name "" Gaudenzio "" and he usually shortened it to ""Enzio"". [ 24 ]",neutral,,0.931,gtgg,2026-06-10 23:20:09.045462+00:00,"{""sentiment"": ""neutral""}"
80010f17-30fc-48ea-8058-7db12d330836,"Stallone occasionally attempted, albeit unsuccessfully, roles in different genres. In 1984, he co-wrote and starred alongside Dolly Parton in the comedy film Rhinestone , where he played a wannabe country music singer. For the Rhinestone soundtrack , he performed a song. Stallone turned down the lead male role in Romancing the Stone in order to make Rhinestone instead, a decision he later regretted. [ 66 ]",neutral,,0.945,data for test,2026-06-10 23:30:18.322568+00:00,"{""label"": ""neutral"", ""sentiment"": ""neutral""}"
b760484c-17df-4fd4-815e-c019d03f4688,"Until 1969, he appeared on the stage under the name Mike Stallone; in 1970, he started using the stage name Sylvester E. Stallone. While attending the University of Miami, Stallone had a role in the drama That Nice Boy (aka The Square Root ), filmed in 1968. [ 39 ] [ 40 ] [ 41 ] Moreover, he and John Herzfeld worked together in 1969 on a low-budget self-produced film called ""Horses"". [ 42 ]",neutral,,0.943,gtgg,2026-06-10 23:30:09.872053+00:00,"{""label"": ""neutral"", ""sentiment"": ""neutral""}"
3b378eac-93fa-4f56-9c48-ac6b1dc895a0,"In 1972, Stallone was on the verge of giving up on having an acting career; in what he later described as a low point, he tried and failed to get a job as an extra in The Godfather . [ 48 ] [ 49 ] Instead, he was relegated to a background role in another Hollywood hit, What's Up, Doc? , starring Barbra Streisand . Stallone is hardly visible in his two appearances.",negative,,0.945,gtgg,2026-06-10 23:20:13.503698+00:00,"{""label"": ""negative"", ""sentiment"": ""negative""}"
d079cd1f-e046-4d19-9f75-361e2481021c,"In 1981, he starred alongside Michael Caine and soccer star Pelé in Escape to Victory , a sports drama in which he plays a prisoner of war involved in a Nazi propaganda soccer game. That same year, he starred in the thriller Nighthawks , in which he plays a New York city cop who plays a cat-and-mouse game with a foreign terrorist, played by Rutger Hauer .",positive,,0.942,gtgg,2026-06-10 23:30:15.696159+00:00,"{""label"": ""positive"", ""sentiment"": ""positive""}"
1cad19a4-d252-4bba-8d58-ce0edb88c943,"At one point, Stallone was voted ""Most Likely to End Up in the Electric Chair"" in high school; [ 33 ] nevertheless, Stallone attended Notre Dame Academy and Abraham Lincoln High School in Philadelphia, [ 34 ] and Charlotte Hall Military Academy in Charlotte Hall, Maryland , prior to attending Miami Dade College . [ 35 ] He spent two years, from September 1965 to June 1967, at the American College of Switzerland . He returned to the United States to study as a drama major at the University of Miami , from 1967 to 1969, but did not graduate. [ 36 ] Decades later, after Stallone's request that his acting and life experiences be accepted in exchange for his remaining needed college credits to graduate, he was granted a Bachelor of Fine Arts (BFA) degree by the University of Miami in 1998. [ 37 ] [ 38 ]",neutral,,0.939,gtgg,2026-06-10 23:30:09.256568+00:00,"{""sentiment"": ""neutral""}"
4d56b676-8e3d-4c1d-8159-14d7a00b4b44,"Stallone happened to be acting in a play that a friend invited him to partake in, and an agent in attendance thought that Stallone fit the role of Stanley, a main character in The Lords of Flatbush , which had a start-stop schedule from 1972 to 1974 over budget issues. [ 50 ] Stallone, around mid-1973, achieved his first proper starring role, in the independent film No Place to Hide , playing a man who is associated with a New York–based urban terrorist movement, with a jewelry-seller as his love interest. The film was re-cut and retitled Rebel years later, this second version featuring Stallone as its star. In 1990, this film was re-edited with outtakes from the original film and newly shot matching footage, then redubbed – in the style of Woody Allen 's What's Up, Tiger Lily? – into a parody of itself titled A Man Called... Rainbo .",neutral,,0.942,gtgg,2026-06-10 23:20:14.173678+00:00,"{""label"": ""neutral"", ""sentiment"": ""neutral""}"
767f9421-7acf-47e0-adfa-db14aa00727e,"After moving to New York City, Stallone shared an apartment with his girlfriend, Sasha Czack, an aspiring actress who supported them by working as a waitress. [ 46 ] Stallone took odd jobs around this time, including being a cleaner at a zoo, and a theater usher; he was fired from the latter for scalping tickets. He furthered his writing skills by frequenting a local library, and became interested in the works of Edgar Allan Poe . [ 47 ]",positive,,0.951,gtgg,2026-06-10 23:30:11.167767+00:00,"{""sentiment"": ""positive""}"
953f0497-e44d-4ffc-942c-106667336688,"In 1987, he starred in the family drama Over the Top as a struggling trucker who tries to make amends with his estranged son and enters an arm wrestling competition. This was poorly received by critics and was a box-office failure. [ 69 ] In 1989, he co-starred alongside Kurt Russell in the buddy cop action film Tango & Cash , which did solid business domestically and overseas, grossing US$57 million in foreign markets and over US$120 million worldwide. [ 70 ] Stallone became a boxing promoter in the 1980s. His boxing promoting company, Tiger Eye Productions, signed world champion boxers Sean O'Grady and Aaron Pryor . [ 71 ]",neutral,,0.947,gtgg,2026-06-10 23:30:20.248302+00:00,"{""sentiment"": ""neutral""}"
5fa07f08-a666-499c-b40a-996b3e418d43,"Stallone began the 1990s starring in the fifth installment of the Rocky franchise, Rocky V . This film brought back the first film's director, John G. Avildsen, and was intended to be the final installment in the series at the time. It was considered a box-office disappointment and received negative reviews. [ 72 ]",negative,,0.948,gtgg,2026-06-10 23:30:20.873069+00:00,"{""label"": ""negative"", ""sentiment"": ""negative""}"
25afe298-a89d-4be7-9763-cbc4061c160b,"During the 1980s, Stallone was considered one of the biggest action film stars in the world, [ 64 ] along with Arnold Schwarzenegger . The Schwarzenegger-Stallone rivalry continued for years; [ 65 ] they attacked each other in the press, and tried to surpass the other with more on-screen killings and larger weapons. [ 64 ]",neutral,,0.944,data for test,2026-06-10 23:30:17.692657+00:00,"{""sentiment"": ""neutral""}"
b8704bda-71b6-4327-93c1-5c91be91ff4c,"Stallone's other first few film roles were minor, and included brief uncredited appearances in M*A*S*H (1970), as a soldier sitting at a table; Pigeons (1970), as a party guest; Woody Allen's Bananas (1971), as a subway thug; in the psychological thriller Klute (1971), as an extra dancing in a club; and in the Jack Lemmon film The Prisoner of Second Avenue (1975), as a youth. In the latter film, Jack Lemmon's character chases, tackles, and mugs Stallone, thinking that Stallone's character is a pickpocket. He had his second starring role in 1974, in The Lords of Flatbush . [ 26 ] In 1975, he played supporting roles in Farewell, My Lovely ; Capone ; and Death Race 2000 . He made guest appearances on the TV series Police Story and Kojak . He is also supposedly in Mandingo . It is often said that his scene was deleted. [ 51 ]",negative,,0.938,gtgg,2026-06-10 23:20:14.803591+00:00,"{""sentiment"": ""negative""}"
b90d405d-2bcc-4f9c-97fa-1f58a5edbbce,"Stallone had his first starring role in the softcore pornography feature film The Party at Kitty and Stud's (1970). He was paid US$200 for two days' work. [ 43 ] Stallone later explained that he had done the film out of desperation after being evicted from his apartment and finding himself homeless for several days. He has also said that he slept three weeks in the Port Authority Bus Terminal in New York City prior to seeing a casting notice for the film. In the actor's words, ""it was either do that movie or rob someone, because I was at the end – the very end – of my rope"". [ 44 ] The film was released several years later as Italian Stallion , in order to cash in on Stallone's newfound fame (the new title was taken from Stallone's nickname since Rocky ). Stallone also starred in the erotic off-Broadway stage play Score which ran for 23 performances at the Martinique Theatre from October 28 to November 15, 1971, and was later made into the 1974 film Score by Radley Metzger . [ 45 ]",negative,,0.939,gtgg,2026-06-10 23:30:10.509923+00:00,"{""sentiment"": ""negative""}"
f772c154-dc8a-42fe-816f-96329c8fb475,"Stallone spent part of his infancy in foster and boarding care, rejoining and moving back with his family to Maryland when he was five. In the early 1950s, his father moved the family to his mother's native Washington, D.C. to open a beauty school. In 1954, his mother opened a women's gym called Barbella's. [ 30 ] [ 31 ] He initially stayed with his father following his parents' divorce when he was 11, but joined his remarried mother in Philadelphia when he was 15. [ 32 ]",neutral,,0.938,gtgg,2026-06-10 23:30:08.650316+00:00,"{""label"": ""neutral"", ""sentiment"": ""neutral""}"
8007c14e-c6a9-49d2-a376-873b6b23109b,"In 1977, at the 49th Academy Awards , Rocky was nominated for ten Oscars , including Best Actor and Best Original Screenplay nominations for Stallone. The film went on to win the Academy Awards for Best Picture , Best Directing , and Best Film Editing . Rocky has since been inducted into the National Film Registry and had its props placed in the Smithsonian Museum . Stallone's use of the front entrance to the Philadelphia Museum of Art in the Rocky series led the area to be nicknamed the Rocky Steps , where a statue of the character, owned by Stallone, stood at the bottom until 2026 except for a brief period where it was in South Philadelphia . [ 56 ] The character was also voted into the International Boxing Hall of Fame .",neutral,,0.934,gtgg,2026-06-10 23:30:14.418652+00:00,"{""sentiment"": ""neutral""}"
31032edc-cb78-4e23-ad6e-dfc59d6aa3fd,"In 1993, he made a comeback with Renny Harlin 's action thriller Cliffhanger , [ 75 ] which was a success in the US, grossing US$84 million, and worldwide, grossing US$171 million. [ 76 ] Later that year, he starred in the futuristic action film Demolition Man directed by Marco Brambilla , co-starring Wesley Snipes and Sandra Bullock . [ 77 ] On Rotten Tomatoes the film has an approval rating of 60% based on 42 reviews, with an average rating of 5.43/10. The site's consensus reads: ""A better-than-average sci-fi shoot-em-up with a satirical undercurrent, Demolition Man is bolstered by strong performances by Stallone, Snipes, and Bullock."" [ 78 ] The film debuted at No. 1 at the box office. [ 79 ] [ 80 ] [ 81 ] Demolition Man grossed $58,055,768 by the end of its box-office run in North America and $159,055,768 worldwide. [ 82 ]",negative,,0.939,gtgg,2026-06-10 23:30:22.221645+00:00,"{""sentiment"": ""negative""}"
4e3a11f2-44e4-4bce-8c48-477a9f7ae57e,"In 1982, Stallone starred as Vietnam veteran John Rambo , a former Green Beret , in the action film First Blood , [ 26 ] an adaptation of the eponymous novel by David Morell , though the script was significantly altered by Stallone during the film's production, [ 57 ] which was both a critical and box-office success. Critics praised Stallone's performance, saying he made Rambo seem human, as opposed to the way he is portrayed in the book of the same name. It launched the Rambo franchise . That year Rocky III was released in which Stallone wrote, directed, and starred. The second sequel became a box-office success. In preparation for these roles, Stallone embarked upon a vigorous training regimen, which often meant six days a week in the gym and further sit-ups in the evenings. Stallone claims to have reduced his body fat percentage to his all-time low of 2.8% for Rocky III . [ 58 ]",negative,,0.938,gtgg,2026-06-10 23:30:16.337835+00:00,"{""sentiment"": ""negative""}"
bbc0edf2-f25c-4d8b-a135-57cb6252c954,"Complications during Stallone's birth forced his mother's obstetricians to use two pairs of forceps while delivering him, accidentally severing a nerve in the process. [ 25 ] [ 26 ] This caused paralysis of the lower left side of his face (including parts of his lip, tongue, and chin) which gave him his signature snarling look and slurred speech. [ 26 ] [ 27 ] As a result, he was bullied in his childhood, with which he coped by getting into bodybuilding and acting. [ 28 ] A guidance counselor once told Stallone's mother: ""Your son is suited to run a sorting machine or to be an assistant electrician, primarily in the area of elevator operations""; nevertheless, Sylvester aspired to be an actor and a screenwriter. [ 29 ]",negative,,0.941,gtgg,2026-06-10 23:30:07.988935+00:00,"{""label"": ""negative"", ""sentiment"": ""negative""}"
85df0276-6a21-47ee-9e21-df1b3c66968e,"Struggling as an actor for a number of years upon moving to New York City in 1969, Stallone found gradual work in films such as The Lords of Flatbush (1974). He achieved his greatest critical and commercial success starting in 1976 with his iconic role as boxer Rocky Balboa in the first film of the successful Rocky franchise , which he also wrote. [ 4 ] In 1977, he became the third actor in history to be nominated for two Academy Awards for Best Original Screenplay and Best Actor . He portrayed the PTSD -plagued soldier John Rambo in First Blood (1982), a role he would play across five Rambo films (1982–2019). From the mid-1980s to the late 1990s, Stallone would go on to become one of Hollywood's highest-paid actors acting in action films such as Cobra (1986), Tango and Cash (1989), Cliffhanger (1993), Demolition Man (1993), and The Specialist (1994). At the height of his career, Stallone was known for his rivalry with Arnold Schwarzenegger . [ 5 ]",neutral,,0.938,gtgg,2026-06-10 23:30:04.648340+00:00,"{""sentiment"": ""neutral""}"
4a91616e-b6bf-4a0a-97a4-37626685e118,Stallone partnered with a beverage company producing an upscale bottled water brand called Sly Water. [ 99 ],positive,,0.963,gtgg,2026-06-10 23:30:23.517562+00:00,"{""label"": ""positive"", ""sentiment"": ""positive""}"
382a5813-4153-42da-aff4-2b7082429935,It was around 1985 that Stallone was signed to a remake of the 1939 James Cagney classic Angels with Dirty Faces . The film would form part of his multi-picture deal with Cannon Films and was to co-star Christopher Reeve and be directed by Menahem Golan . The re-making of such a beloved classic was met with disapproval by Variety and horror by top critic Roger Ebert . Cannon opted to make the action film Cobra which was released in 1986 and became a box-office success. It led to the setting up of his production company White Eagle Enterprises. [ 68 ],positive,,0.941,data for test,2026-06-10 23:30:19.614374+00:00,"{""sentiment"": ""positive""}"
56efd473-4946-4045-a130-edce9de3dc7e,"In 1983, he directed Staying Alive , the sequel to Saturday Night Fever , starring John Travolta . This was the only film Stallone directed that he did not star in. Staying Alive was universally panned by film critics. [ 59 ] Despite being a critical failure, Staying Alive was a commercial success. The film opened with the biggest weekend for a musical film ever (at the time) with a gross of $12,146,143 from 1,660 screens. [ 60 ] [ 61 ] Overall, the film grossed nearly $65 million in the US box office against its $22 million budget. Worldwide it grossed $127 million. [ 62 ] Though the US box-office intake was significantly less than the $139.5 million [ 63 ] earned by Saturday Night Fever , the film nevertheless ranked in the top ten most financially successful films of 1983.",negative,,0.937,data for test,2026-06-10 23:30:17.046956+00:00,"{""sentiment"": ""negative""}"
33fb001a-ddc5-4e17-b467-c5c57879fbe3,"Sylvester Gardenzio Stallone ( / s t ə ˈ l oʊ n / stə- LOHN ; born July 6, 1946) is an American actor, painter, and filmmaker. In a film career spanning more than fifty years, Stallone has received numerous accolades , including a Golden Globe Award and a Critics' Choice Award , as well as nominations for three Academy Awards and two BAFTA Awards . Stallone is one of only two actors in history (alongside Harrison Ford ) to have starred in a box-office No. 1 film across six consecutive decades. [ 1 ] [ 2 ] Films in which he has appeared have grossed over $7.5 billion worldwide. [ 3 ]",positive,,0.947,gtgg,2026-06-10 23:20:05.718657+00:00,"{""label"": ""positive"", ""sentiment"": ""positive""}"
3e87031d-ee80-406b-83cb-72449404b5c5,"Stallone continued his established roles in Rocky Balboa (2006) and Rambo (2008) before launching The Expendables film franchise (2010–present), in which he starred as the mercenary Barney Ross . In 2013, he starred in the successful film Escape Plan and appeared in its sequels . In 2015, he returned to Rocky again with Creed , in which a retired Rocky mentors former rival Apollo Creed 's son Adonis Creed . The film brought Stallone widespread praise and his first Golden Globe Award, as well as a third Academy Award nomination, having been first nominated for the same role 40 years prior. He also starred in the sequel Creed II (2018) and portrayed Stakar Ogord in the Marvel Cinematic Universe films Guardians of the Galaxy Vol. 2 (2017) and Guardians of the Galaxy Vol. 3 (2023).",positive,,0.938,gtgg,2026-06-10 23:20:07.781960+00:00,"{""label"": ""positive"", ""sentiment"": ""positive""}"
430acc2d-73b5-427c-a0f9-06f37d2a7f48,"Stallone's other first few film roles were minor, and included brief uncredited appearances in M*A*S*H (1970), as a soldier sitting at a table; Pigeons (1970), as a party guest; Woody Allen's Bananas (1971), as a subway thug; in the psychological thriller Klute (1971), as an extra dancing in a club; and in the Jack Lemmon film The Prisoner of Second Avenue (1975), as a youth. In the latter film, Jack Lemmon's character chases, tackles, and mugs Stallone, thinking that Stallone's character is a pickpocket. He had his second starring role in 1974, in The Lords of Flatbush . [ 26 ] In 1975, he played supporting roles in Farewell, My Lovely ; Capone ; and Death Race 2000 . He made guest appearances on the TV series Police Story and Kojak . He is also supposedly in Mandingo . It is often said that his scene was deleted. [ 51 ]",negative,,0.938,gtgg,2026-06-10 23:30:13.128110+00:00,"{""sentiment"": ""negative""}"
fedfb725-1d37-4767-858a-d418fae98d17,"Complications during Stallone's birth forced his mother's obstetricians to use two pairs of forceps while delivering him, accidentally severing a nerve in the process. [ 25 ] [ 26 ] This caused paralysis of the lower left side of his face (including parts of his lip, tongue, and chin) which gave him his signature snarling look and slurred speech. [ 26 ] [ 27 ] As a result, he was bullied in his childhood, with which he coped by getting into bodybuilding and acting. [ 28 ] A guidance counselor once told Stallone's mother: ""Your son is suited to run a sorting machine or to be an assistant electrician, primarily in the area of elevator operations""; nevertheless, Sylvester aspired to be an actor and a screenwriter. [ 29 ]",negative,,0.941,gtgg,2026-06-10 23:20:09.654667+00:00,"{""label"": ""negative"", ""sentiment"": ""negative""}"
